NAME,GROWTH,FLOWER,YEAR,AFS #,DESCRIPTION,PARENTAGE,GROWER
A-1,TRAILER,DUBL,1969,837,T&S.PALE PINK.C.PALE BLUE CENTRE WITH PINK & BLUE PETALOIDS.FADING LAVENDER,PARENTAGE UNKNOWN.,CASTRO
A.M.LARWICK,UPRT BUSH,SGLE,1940,891,T&S.RICH CARMINE.C.PURPLISH MAUVE.FLR.MED.FOLIAGE MED.GREEN.CRIMSON MID-RIB,PARENTAGE UNKNOWN.,SMITH.L. NZ
AACHENER KLENKES,UPRT,DUBL,1988,2340, TUBE LIGHT PINK; SEPALS PALE PINK; COROLLA PALE PINK.,FLIRTATION WALTZ X MARIAM,MURRU BELGIUM
AANDERKEN SIMON GIJSELS,TRAILER,DUBL,2009,,T & S LIGHT PINK; EDGED RED/GREEN TIPS; COROLLA MAGENTA; MATURING DARKER,,MICJIELS BELG
ABBE FARGES,UPRT BUSH,SIDL,1901,,T& REFLEXED S.LIGHT CERISE.C.ROSY LILAC.FLR.SMALL BUT PROFUSE.FOLIAGE SMALL,PARENTAGE UNKNOWN.CONFUSED WITH LITTLE BEAUTY.,LEMOINE
ABINGER FAYRE,LAX UPRT,SIDL,1971,,T&S PINK C.DARK MAGENTA.PINK AT BASE.LAX.VIGOROUS.WILL CLIMB.,SEEDLING FROM GAY FANDANGO.,PRIDMORE
ACCENT,LABU-TRAL,SGLE,1969,862,T.PINK S.TINGED PINK.PURPLE CENTRE.C.DEEP PURPLE.FADING DEEP MAGENTA.SMALL,PARENTAGE UNKNOWN.,KENNETT
ACCLAMATION,TRAILER,DUBL,1994,3230,T&S.PALE PINK.STREAKED CREAM.TIPS GREEN.C.PINK TO DARKER PINK.,SPORT FROM MORE APPLAUSE.,SCRASE
ACHIEVEMENT,UPRT BUSH,SGLE,1886,,T.& RECURVED S.REDDISH CERISE.C.REDISH PURPLE.BASE SCARLET.FOL.YELLOW GREEN,SYN.GOLIATH.SIMILAR TO CHARMING.FOLIAGE YELLOW GREEN.,MELVILLE
ACHILLES,,DUBL,,,T&S.REDDISH SCARLET.C.ROSE BICOLOUR.,PARENTAGE NOT KNOWN. LISTED IN MASON CATALOGUE AUCK.1875,UNKNOWN
ACHILLES TOPS,TRAILER,DUBL,2004,5736,SEPALS REDDISH PURPLE; COROLLA DARK REDDISH PURPLE.,ROESSE BLACKY X ERIKA FUHRMAN,MICHIELS BEL.
ADA PERRY,LAX UPRT,DUBL,1983,1733,T&S.SCARLET.HORIZONTAL.TIPS RECURVED.C.BLUE-PURPLE STREAKED CARDINAL RED.,SEVENTH HEAVEN X HULA GIRL.,STUBBS
ADAGIO,TRAILER,DUBL,1961,485,T&S.ROSY RED.C.CLARET RED.TRAILING OR SEMI TRAILER.,PARENTAGE UNKNOWN.,TIRET
ADELINE LAURIE,MED UPRT,DUBL,1985,1812,T.SHORT & THIN.S.SPIAREA RED.C.MAGNOLIA PURPLE.MATURING LIGHTER.LARGE FLRS.,SPORT FROM DANNY BOY.,LAURIE.A.NZ
AINTREE,UPRIGHT,SGLE,1964,,T.SLENDER.IVORY.S.SLIGHTLY SUFFUSED ROSE.C.VIVID ROSE MADDER.,PARENTAGE UNKNOWN.,NEED
ALASKA,UPRT BUSH,DUBL,1963,585,T.PURE WHITE.S.WHITE TIPS GREEN.C.WHITE AND FLUFFY.LARGE FLOWERS.,NOT AS ALASKA BY ROTH. TWO OF THIS NAME.,SCHNABEL
ALBERTA LOGUE,LAX UPRT,DUBL,1984,1758,T.SHORT WHITE.S.WHITE BLUSHED PINK.PINK ORANGE OUTER.C.PALE REDDISH ORANGE.,PARENTAGE UNKNOWN.,UNKNOWN
ALBION,UPRT BUSH,SGLE,1972,1049,T&S.NEYRON ROSE.REFLEX.C.HYACINTH BLUE.FADING TO VIOLET AND PURPLE.SAUCER.,ROSEDALE X LADY ISOBEL BARNETT.,GADSBY
ALEXANDRINA,,DUBL,,,T&S.GLOSSY SCARLET.S.REFLEXED.C.WHITE.,PARENTAGE NOT KNOWN. LISTED IN MASON CATALOGUE AUCK.1875,VEITCH
ALF THORNLEY,UPRT BUSH,DUBL,1981,1742,T.SHORT PINK.S.NEYRON-ROSE TIPS GRN.RECURVED.C.CREAMY-WHITE.PERFECT SHAPE.,SEEDLING FROM LILAC LUSTRE.,CLARK.D
ALFRED RAMBAUD,UPRT BUSH,DUBL,1896,,T&S.RICH SCARLET.COMPLETELY HIDING TUBE.C.VIOLET PURPLE.AGING ROSY PURPLE.,PARENTAGE NOT STATED.,LEMOINE
ALGERINE,UPRIGHT,SGLE,1993,,T&S.PALE PINK EDGED ROSE.C.DEEP MAGENTA.,PARENTAGE NOT STATED. 1997 IMPORT BY HAYES.,UNKNOWN
ALI HARDER,UPRT BUSH,SGLE,1988,,T.WHITE TINTED PINK.S.WHITE.BASE PALE PINK.LARGE GREEN TIPS.C.BRIGHT LILAC.,PARENTAGE NOT STATED. 1997 IMPORT BY HAYES.,HASLINGER
ALI PATI,,,,,,NO RECORDS.,
ALICE ASHTON,TRAILER,SIDL,1971,991,T&S.PINK.C.PORCELAIN BLUE.,PARENTAGE UNKNOWN.,TIRET
ALICE HOFFMAN,LOW BUSH,SIDL,1911,,T&S.ROSE.C.WHITE VEINED ROSE.FLRS SML.FOLIAGE BRONZY-GRN.SMALL.COMPACT BUSH,PARENTAGE UNKNOWN.,KLESE
ALISON EWART,LOW BUSH,SGLE,1977,,T&S.NEYRON ROSE.TIPS GREEN.C.MAUVE FLUSHED PINK.FLR.SML.FOLIAGE RED VEINED.,ELEANOR LEYTHAM X PINK DARLING.,ROE.G
ALISON PATRICIA,LOW BUSH,SGLE,1991,,T&S.PALE CRIMSON.SEPALS HORIZONTAL TIPS GREEN.C.VIOLET ROSE.VEINED RED.,MARGARET ROE X AMANDA JONES. 1997 IMPORT BY HAYES.,JOHNS.E
ALISON RYLE,UPRT BUSH,SIDL,1968,1112,T.SHORT.S.FUCHSIA PINK TIPS PALE.C.DEEP LAVENDER BLUE FLUSHED PALE MAUVE.,LENA DALTON X TENNESSEE WALTZ.,RYLE
ALISON SWEETMAN,VIG UPRT,SGLE,1984,,T.LONG CRIMSON.S.BRIGHT CRIMSON HELD HORIZONTAL.C.BEETROOT PURPLE.,HERALD X CELIA SMEDLEY.,ROE.G
ALLEGRA,TRAILER,DUBL,1960,416,T.ROSE.S.REFLEXED MEDIUM ROSE.C.ROSE BENGAL.FLOWERS LOOSE.GROWTH ARCHING.,PARENTAGE UNKNOWN.,SCHNABEL
ALPESTRIS,LAX UPRT,SGLE,1843,,T & SEPALS RED; TOTALLY RECURVED; COROLLA PURPLISH. CLIMBER,PARENTAGE UNKNOWN. FOUND BY GARDINER.,
ALWIN,LOW UPRT,SIDL,1976,,T&S.NEYRON ROSE.SHORT TUBE.REFLEXING SEPALS.C.WHITE.RED VEINS.FLUTED PETALS,LA-CAMPANELLA X LIEBREIZ.,CLYNE
